date,open,high,low,close,volume
2018-05-07,264.65,266.4,267.18,264.48,507670
2018-05-06,266.31,265.96,268.15,265.79,294620
2018-05-03,265.79,268.41,269.8,265.44,405360
2018-04-30,268.06,272.51,272.51,267.62,671630
2018-04-26,271.46,272.51,272.51,270.94,252060
2018-04-25,271.46,272.51,273.3,270.77,443950
2018-04-24,271.81,273.39,273.82,270.33,454170
2018-04-23,273.21,274.26,275.13,272.6,265350
2018-04-22,274,274.35,276.01,273.82,227540
2018-04-19,275.13,273.82,276.36,273.12,486670
2018-04-18,273.3,274.61,274.61,272.95,252840
2018-04-17,274.08,274.87,274.87,273.39,297830
2018-04-16,273.91,274.52,275.05,272.25,222920
2018-04-15,274.35,274.52,275.13,274.17,151110
2018-04-12,274.17,275.05,275.39,273.91,338280
2018-04-11,274.78,277.14,277.14,273.91,227600
2018-04-10,276.71,277.75,278.54,276.27,259180
2018-04-09,276.79,274.61,278.36,274.17,428670
2018-04-08,274.96,274.78,275.57,274.61,331350
2018-04-05,275.31,273.82,276.01,273.82,368430
2018-04-04,274.35,274.96,275.13,273.56,290450
2018-04-03,274.08,275.13,276.01,273.65,269870
2018-04-02,275.13,273.82,276.18,272.95,383480
2018-04-01,272.95,271.64,275.05,271.55,215810
2018-03-29,270.77,265.79,274.26,265.79,648330
2018-03-28,266.22,269.11,270.59,265.53,540520
2018-03-27,269.19,271.81,272.34,269.02,356760
2018-03-25,272.51,272.95,274.17,272.25,124990
2018-03-22,272.51,274.26,275.48,270.77,281150
2018-03-21,273.12,276.44,276.44,272.51,428170
2018-03-20,274.08,275.05,275.05,273.39,204190
2018-03-19,274.52,276.09,276.09,274.08,203810
2018-03-18,276.09,275.74,276.88,275.22,182870
2018-03-15,275.39,274.7,276.44,272.6,244410
2018-03-14,273.91,272.51,274.52,272.43,213780
2018-03-13,272.43,274,274.17,270.77,234980
2018-03-12,273.91,276.71,276.71,273.21,209710
2018-03-11,275.83,275.57,276.36,274.96,142910
2018-03-08,276.09,276.62,277.75,273.91,356670
2018-03-07,276.62,277.75,278.36,276.44,111010
2018-03-06,277.14,277.75,277.75,274.96,269530
2018-03-05,276.18,277.4,278.19,274.26,134770
2018-03-04,277.23,276.09,279.94,276.01,242510
2018-03-01,276.09,275.13,278.1,273.21,282130
2018-02-28,273.65,274.87,276.01,271.38,416740
2018-02-27,274.87,271.2,275.92,269.8,443120
2018-02-26,269.8,272.95,272.95,268.84,589910
2018-02-25,272.77,280.37,280.37,272.16,833420
2018-02-22,277.58,282.82,282.82,276.88,514150
2018-02-20,279.41,282.91,282.99,279.06,513540
2018-02-19,281.07,282.3,283.78,280.81,260370
2018-02-18,282.64,282.73,282.99,281.25,245810
2018-02-15,282.91,284.3,284.3,282.73,399570
2018-02-14,283.87,285.61,285.61,283.52,395150
2018-02-13,285.09,285.79,286.4,284.65,323180
2018-02-12,285.96,289.98,289.98,284.92,683480
2018-02-11,288.23,286.05,288.58,285.7,541040
2018-02-08,285.61,283.87,286.14,283.87,536280
2018-02-07,284.04,282.21,285.61,282.12,415500
2018-02-06,283.61,285.09,286.05,283.08,306210
2018-02-05,283.69,285.44,285.44,279.5,606460
2018-02-04,284.39,286.23,286.31,284.04,432900
2018-02-01,285.7,285.61,286.92,284.04,394870
2018-01-31,284.74,287.36,287.36,279.33,880590
2018-01-30,285.7,289.81,289.89,284.74,240950
2018-01-29,288.23,283.26,288.67,281.25,730720
2018-01-28,283.26,287.8,287.8,279.5,773470
2018-01-25,287.8,288.32,288.32,283.87,747650
2018-01-24,288.23,290.85,291.03,286.66,952220
2018-01-23,291.03,292.6,292.6,286.49,1550000
2018-01-22,291.55,283.87,292.6,282.91,2140000
2018-01-21,282.91,282.73,284.22,280.46,1000000
2018-01-18,282.38,275.13,282.99,275.13,1610000
2018-01-17,276.01,271.64,279.59,271.64,1850000
2018-01-16,271.12,269.02,271.64,268.93,799100
2018-01-15,269.54,267.36,270.24,267.27,1140000
2018-01-14,267.36,268.15,268.58,266.4,325640
2018-01-11,268.15,266.75,269.02,266.75,893310
2018-01-10,266.92,266.31,268.49,265.53,292280
2018-01-09,265.44,264.83,265.53,264.04,428540
2018-01-08,264.74,266.31,266.4,263.78,413230
2018-01-07,265.7,267.18,268.15,265,197410
2018-01-04,266.66,268.67,269.63,265.53,352710
