datetime,open,high,low,close,volume,openinterest
2015-08-18 00:00:00,722.55,722.07,731.34,720.88,19870,0
2015-08-17 00:00:00,725.96,734.39,734.92,722.07,14390,0
2015-08-16 00:00:00,731.87,752.26,752.26,730.56,22410,0
2015-08-13 00:00:00,724.58,747.18,757.28,720.94,29020,0
2015-08-12 00:00:00,749.69,763.32,763.32,741.8,26560,0
2015-08-11 00:00:00,746.7,768.1,771.03,744.79,27110,0
2015-08-10 00:00:00,749.51,744.19,762.6,729.84,19930,0
2015-08-09 00:00:00,751.3,767.38,776.47,747.18,49690,0
2015-08-06 00:00:00,755.43,773.48,773.48,752.56,49470,0
2015-08-05 00:00:00,763.32,769.11,786.03,762.24,70760,0
2015-08-04 00:00:00,767.2,762.12,774.08,750.94,44180,0
2015-08-03 00:00:00,771.8,742.99,775.27,742.99,105750,0
2015-08-02 00:00:00,743.35,726.2,756.14,725.66,51240,0
2015-07-30 00:00:00,716.69,747.18,759.13,707.73,73670,0
2015-07-29 00:00:00,752.44,777.66,786.63,744.19,78190,0
2015-07-28 00:00:00,768.1,775.87,795,747.24,111330,0
2015-07-27 00:00:00,768.34,759.49,806.95,741.26,253450,0
2015-07-26 00:00:00,759.49,717.29,760.09,717.29,275280,0
2015-07-23 00:00:00,715.38,681.43,715.38,675.45,188010,0
2015-07-22 00:00:00,673.3,643.77,681.43,643.77,130890,0
2015-07-21 00:00:00,645.56,616.93,650.94,616.27,51990,0
2015-07-14 00:00:00,626.61,606.71,630.02,602.52,35210,0
2015-07-13 00:00:00,604.38,602.52,606.71,599.65,14920,0
2015-07-12 00:00:00,603,601.57,609.04,600.73,12620,0
2015-07-09 00:00:00,606.11,604.91,609.1,600.73,19620,0
2015-07-08 00:00:00,601.81,597.62,603.72,597.02,27450,0
2015-07-07 00:00:00,594.63,590.57,597.14,587.04,11310,0
2015-07-06 00:00:00,590.87,589.43,592.96,589.43,12730,0
2015-07-05 00:00:00,590.33,596.55,596.55,587.28,21860,0
2015-07-02 00:00:00,597.14,585.79,602.46,585.79,89050,0
2015-06-30 00:00:00,594.1,597.62,599.53,579.81,112790,0
2015-06-29 00:00:00,589.43,578.26,596.55,574.13,101500,0
2015-06-28 00:00:00,578.26,573.83,579.81,571.14,23860,0
2015-06-25 00:00:00,573.47,573.83,575.45,570.84,10730,0
2015-06-24 00:00:00,574.13,571.44,574.97,570.84,12340,0
2015-06-23 00:00:00,573.29,570.9,575.63,570.9,13500,0
2015-06-22 00:00:00,569.17,567.85,570.84,567.85,9880,0
2015-06-21 00:00:00,568.15,570.25,573.83,565.64,27890,0
2015-06-18 00:00:00,569.05,572.04,573.95,566.78,26600,0
2015-06-17 00:00:00,574.73,578.55,582.8,572.7,31640,0
2015-06-16 00:00:00,573.29,574.13,574.67,569.05,9940,0
2015-06-15 00:00:00,573.41,579.81,585.79,569.65,29620,0
2015-06-14 00:00:00,583.99,596.96,600.73,581,69690,0
2015-06-11 00:00:00,591.76,582.74,594.75,576.88,78570,0
2015-06-10 00:00:00,576.58,576.82,579.81,572.76,19020,0
2015-06-09 00:00:00,572.46,566.6,583.99,563.07,47310,0
2015-06-08 00:00:00,566.6,560.68,567.85,558.89,50140,0
2015-06-07 00:00:00,553.75,558.89,558.89,552.91,17510,0
2015-06-04 00:00:00,555.24,555.9,567.85,543.35,35960,0
2015-06-02 00:00:00,554.76,534.98,571.5,533.96,73480,0
2015-06-01 00:00:00,534.38,531.99,537.79,530.79,26520,0
2015-05-31 00:00:00,532.41,532.35,534.98,528.4,30330,0
2015-05-28 00:00:00,532.35,535.52,536.77,531.99,21100,0
2015-05-27 00:00:00,533.96,536.77,537.37,531.09,23530,0
2015-05-26 00:00:00,532.71,531.99,536.17,529,21200,0
2015-05-25 00:00:00,531.87,534.38,534.56,530.68,6280,0
2015-05-24 00:00:00,531.27,532.89,533.19,530.79,17400,0
2015-05-21 00:00:00,529.6,533.78,533.78,528.4,23760,0
2015-05-20 00:00:00,528.88,534.98,536.17,527.81,30980,0
2015-05-19 00:00:00,526.49,527.21,531.99,521.83,46320,0
2015-05-18 00:00:00,527.15,530.79,530.79,526.01,29130,0
2015-05-17 00:00:00,531.09,536.17,536.17,523.02,40970,0
2015-05-14 00:00:00,533.28,533.98,535.43,531.04,52680,0
2015-05-13 00:00:00,531.19,532.99,535.48,528.75,41250,0
2015-05-12 00:00:00,528.65,524.62,530.99,524.02,34660,0
2015-05-11 00:00:00,529.3,537.97,537.97,528.6,24770,0
2015-05-10 00:00:00,533.78,533.04,536.87,532.64,23670,0
2015-05-07 00:00:00,535.83,530.5,537.97,518.09,32610,0
2015-05-06 00:00:00,521.48,523.02,531.99,513.06,57730,0
2015-05-05 00:00:00,512.96,517.54,517.54,508.68,13880,0
2015-05-04 00:00:00,511.82,516.2,521.53,509.13,19830,0
2015-04-30 00:00:00,515.65,539.96,539.96,510.57,35220,0
2015-04-29 00:00:00,515.5,542.95,542.95,514.06,61050,0
2015-04-27 00:00:00,542.8,549.92,549.92,540.46,37900,0
2015-04-26 00:00:00,547.13,548.43,551.91,545.69,31110,0
2015-04-23 00:00:00,549.08,549.72,554.9,548.08,17020,0
2015-04-22 00:00:00,549.13,552.91,552.91,545.44,12790,0
2015-04-21 00:00:00,549.92,556.4,556.4,549.42,39280,0
2015-04-20 00:00:00,557.79,551.42,562.33,551.42,12370,0
2015-04-19 00:00:00,562.08,553.46,567.8,553.46,19220,0
2015-04-16 00:00:00,553.76,552.91,557.79,546.44,39500,0
2015-04-15 00:00:00,554.45,565.36,567.31,547.93,36580,0
2015-04-13 00:00:00,568.15,572.84,576.27,567.01,42950,0
2015-04-12 00:00:00,569.95,577.32,578.81,567.85,68540,0
2015-04-09 00:00:00,577.87,576.32,581.2,576.32,53330,0
2015-04-08 00:00:00,577.77,580.81,582.75,576.82,49980,0
2015-04-07 00:00:00,579.86,588.78,589.57,573.83,35210,0
2015-04-06 00:00:00,578.96,573.33,582.25,572.84,65770,0
2015-04-05 00:00:00,575.58,580.06,580.06,570.44,36080,0
2015-04-02 00:00:00,572.98,582.8,582.8,570.84,40670,0
2015-04-01 00:00:00,575.87,573.33,579.81,569.1,46850,0
2015-03-31 00:00:00,572.09,580.91,580.91,569.35,41660,0
2015-03-30 00:00:00,581.15,577.57,592.71,577.57,56520,0
2015-03-29 00:00:00,576.12,567.85,577.82,565.41,83890,0
2015-03-25 00:00:00,566.26,567.85,569.85,563.02,14520,0
2015-03-24 00:00:00,568.2,564.37,572.34,562.87,47410,0
2015-03-23 00:00:00,566.46,564.37,567.85,560.88,26260,0
2015-03-22 00:00:00,564.52,568.65,570.3,557.89,39270,0
2015-03-19 00:00:00,566.26,571.34,571.34,563.12,58960,0
2015-03-18 00:00:00,566.41,567.36,572.24,562.87,73640,0
2015-03-16 00:00:00,558.19,549.77,560.33,539.26,41840,0
2015-03-15 00:00:00,548.28,547.93,551.91,546.44,22230,0
2015-03-12 00:00:00,547.43,554.9,555.35,545.74,24320,0
2015-03-11 00:00:00,546.88,545.44,555.3,545.44,13300,0
2015-03-10 00:00:00,545.84,551.91,551.91,545.44,8180,0
2015-03-09 00:00:00,548.08,549.42,552.41,539.96,11140,0
2015-03-08 00:00:00,548.58,550.42,555.4,545.49,24070,0
2015-03-05 00:00:00,539.76,555.4,555.4,538.96,34360,0
2015-03-04 00:00:00,554.16,558.39,564.37,553.01,27770,0
2015-03-03 00:00:00,563.37,567.85,567.85,560.88,36880,0
2015-03-02 00:00:00,569.3,558.44,570.34,558.44,38020,0
2015-03-01 00:00:00,557.94,576.82,576.82,551.42,82760,0
2015-02-26 00:00:00,570.2,577.82,582.2,568.85,61250,0
2015-02-25 00:00:00,576.92,567.36,579.66,566.91,75690,0
2015-02-24 00:00:00,566.51,557.89,567.36,543.45,73950,0
2015-02-23 00:00:00,547.33,532.44,550.42,532.44,54330,0
2015-02-22 00:00:00,529.4,526.01,531.24,524.22,14320,0
2015-02-19 00:00:00,526.21,525.51,528,522.33,14850,0
2015-02-18 00:00:00,522.72,522.03,525.27,520.08,10310,0
2015-02-17 00:00:00,525.56,520.53,528,515.55,13720,0
2015-02-16 00:00:00,521.93,530.5,530.5,518.04,20430,0
2015-02-15 00:00:00,515.8,518.04,518.94,511.57,23040,0
2015-02-12 00:00:00,518.89,513.06,522.53,511.82,35780,0
